银证转入
银证转出
证券买入
证券卖出
股息入账
股息红利税补缴
红股入账
红股派息

配股入账
配股缴款




保证金产品快速取款
保证金产品申购
保证金产品赎回
保证金份额转让划出











批量利息归本
批量利税代扣

新股入账
新股申购
申购中签
申购赎回过入
申购赎回过出
申购返款
申购配号









港股通组合费
港股通组合费收取
港股通组合费补扣




权证入账
红利差异税扣税
证券买入清算


质押回购拆出
资金红冲
资金蓝补

转存管转入
转存管转出
退款退息
配售权证

银行转取
银行转存

拆出质押购回
拆出购回
指定交易

托管转入
托管转出
基金资金拨入
基金资金拨出
基金资金长冻
基金资金长解
开放基金赎回
开放基金赎回返款
赎回冻结
赎回到账
赎回确认
赎回解冻
